anime_name,anime_year,anime_genre,anime_views,number_of_episodes,anime_url,anime_comments,anime_description,image,ongoing
Боевой мастер,2020,"['Экшен', 'Боевые искусства', 'Драма', 'История', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",240046,145,https://animestars.org/aniserials/video/action/965-boevoj-master.html,22,"Судьба героя с экранизации «Боевой мастер», перерастает в новый образ человека. Мужчина, считающий знакомых лучшими друзьями, вскоре потеряет все. Благодаря подчиненным, его предали, и смерть наступила в каньоне Смерти. Сам мужчина, красивый внешностью, уверенный в себе, но амбиции подводят. Вскоре, он перерождается в теле Чень, что правит в империи Небесного Юань. Его мама, также,...",https://animestars.org/uploads/posts/2020-10/1604074411_1.webp,1
Нулевой Эдем,2021,"['Комедия', 'Приключения', 'Сёнэн', 'Фантастика', 'Фэнтези', 'Новинки']",59717,15,https://animestars.org/aniserials/video/comedy/1078-nulevoj-jedem.html,19,"Погодите, где-то я это уже видел. Ничего вам это не напоминает? Ай, ладно, оставим очевидное и приступим смазывать мои заржавелые кости. Вы, главное, помните о том, что все совпадения с другими произведениями случайны, а схожесть главных героев с персонажами из других Аниме и Манги никак не может повлиять на конечный результат. Действие происходит в одном интересном королевстве под...",https://animestars.org/uploads/posts/2021-03/1617116384_1.webp,1
Токийские мстители,2021,"['Экшен', 'Драма', 'Сёнэн', 'Школа', 'Новинки']",80105,15,https://animestars.org/aniserials/video/action/1089-tokijskie-mstiteli.html,25,"Помни о своих поступках совершенных в прошлом, ведь спустя десятилетие теме может это припомнится стократ. О таком не думал наш главный герой Аниме «Токийские мстители». Парень во всю жил насыщенной жизнью будучи «шестеркой» одной из банд. Вы себе не можете представить, как тяжело ему жилось. Настолько тяжело, что сразу после окончания школы Такэмити Ханагаки сбежал как можно дальше...",https://animestars.org/uploads/posts/2021-04/1618151193_1.webp,1
Герой-рационал перестраивает королевство,2021,"['Война', 'Гарем', 'Романтика', 'Фэнтези', 'Новинки']",18036,3,https://animestars.org/aniserials/video/war/1128-geroj-racional-perestraivaet-korolevstvo.html,9,"Попав в совершенно другой мир наш с вами главный герой из аниме «Genjitsu Shugi Yuusha no Oukoku Saikenki» не получил никаких способностей. Его задача будет состоять в несколько других целях. Мы с вами уже привыкли видеть нашпигованных по самое не могу главных героев, которые одним взмахом руки способны уничтожать своих врагов. Здесь все будет происходить несколько иначе. Нужен...",https://animestars.org/uploads/posts/2021-07/1625774379_1.webp,1
Комендант общежития богинь,2021,"['Гарем', 'Комедия', 'Романтика', 'Сёнэн', 'Этти', 'Новинки']",2655,1,https://animestars.org/aniserials/video/garem/1131-komendant-obschezhitija-bogin.html,0,"Аниме «Комендант общежития богинь» поведает нам историю о маленьком счастливчике, который стал комендантом в женском общежитии. Но, для начала, давайте поближе познакомимся с главным героем. Парня зовут Нагумо Коси, он самый обычный парень двенадцати лет. За эти двенадцать лет его отец успел заиметь долгов как шелков. Как итог, отец бросил своё чадо на произвол судьбы после пожара в...",https://animestars.org/uploads/posts/2021-07/1626551663_1.webp,1
"Добро пожаловать в ад, Ирума 2 сезон",2021,"['Комедия', 'Сверхъестественное', 'Сёнэн', 'Фэнтези', 'Школа', 'Новинки']",87236,14,https://animestars.org/aniserials/video/comedy/1099-dobro-pozhalovat-v-ad-iruma-2-sezon.html,14,"Продолжение увлекательной истории паренька по имени Судзуки Ирума в аниме «Добро пожаловать в ад, Ирума 2 сезон» преподнесет вам новый виток его приключений. Ад – это место возможностей. Посудите сами и посмотрите на это глазами парня. Ирума не только начал ходить в школу, он обзавелся настоящими друзьями. Этого всего, парень, не смог сделать в мире людей. Кто еще сомневается в...",https://animestars.org/uploads/posts/2021-04/1619023454_1.webp,1
Ремейк нашей жизни,2021,"['Комедия', 'Романтика', 'Новинки']",8359,3,https://animestars.org/aniserials/video/comedy/1121-remejk-nashej-zhizni.html,2,"Все мы мечтали, в какой-то мере, вернуться назад во времени и исправить ошибки, совершенные нами. Как же хотелось бы даже сейчас получить возможность воспользоваться столь ценным даром судьбы. Аниме «Ремейк нашей жизни» дает главному герою такой шанс. Жизнь всегда течет своим чередом. Мы не в состоянии контролировать некоторые аспекты в ней, но, в тоже самое время, мы можем...",https://animestars.org/uploads/posts/2021-07/1625396604_1.webp,1
Моя геройская академия 5 сезон,2021,"['Экшен', 'Комедия', 'Сёнэн', 'Школа', 'Новинки']",101629,16,https://animestars.org/aniserials/video/action/1074-moja-gerojskaja-akademija-5-sezon.html,32,"Вот уже в 5-ый раз на ваших экранах появится аниме «Boku no Hero Academia». Каждый раз наблюдая за главным героем, ты открываешь его с какой-то новой для себя стороны. Новые события влекут за собой новые переживания. Мидория с каждым разом все лучше контролирует свою причуду. Вместе с ним как всегда его верные друзья. Не стоит забывать о врагах, которые жаждут натворить как можно...",https://animestars.org/uploads/posts/2021-03/1616877266_1.webp,1
Ре-Мейн,2021,"['Спорт', 'Школа', 'Новинки']",1332,2,https://animestars.org/aniserials/video/sports/1130-re-mejn.html,0,"В нашей жизни очень мало справедливости. Эту самую «справедливость» почувствовал главный герой аниме «Re-Main», который попал в кому. Будучи подающим надежды юноша, не может теперь занимать своим любимым делом. Игра в водное поло должна была стать его жизнью. Вместе со своей командой подняться на мировую вершину. Казалось бы, этому ничего не могло помешать, если бы не трагедия,...",https://animestars.org/uploads/posts/2021-07/1626545689_1.webp,1
Идеальный мир,2021,"['Боевые искусства', 'Приключения', 'Сёнэн', 'Фэнтези', 'Многосерийные', 'Китайские', 'Новинки']",71477,15,https://animestars.org/aniserials/video/martial_arts/1105-idealnyj-mir.html,5,"Сражаясь за выживание, ты постигнешь самые потаенные знания, которые только может постичь человек. Получив благословение Богов наш главный герой из Аниме «Безупречный мир» будет сражаться из-за всех сил за свой клан во имя его спасения. Каждый день будет наполнен новыми опасностями. Каждое сражение даст неповторимый опыт, а духовное развитие, со временем, достигнет самих небес и...",https://animestars.org/uploads/posts/2021-04/1619549893_1.webp,1
